Conta;2019;2020;2021;2022;2023;2024
RECEITA CORRENTE;3445,08;3983,13;4479,68;4730,23;5071,81;5419,37
  Impostos, Taxas e Contribuições de Melhoria;1144,88;1193,12;1357,57;1523,82;1649,7;1788,22
    ISS;340,77;358,86;435,52;516,33;591,05;663,52
    IPTU;493,52;505,39;545,09;585,36;612,39;632,39
  Transferências Correntes;1889,96;2334,87;2355,5;2588,96;2772,46;2859,99
    Cota-Parte do FPM;139,15;134,18;178,44;227,36;225,06;247,6
  Receitas Financeiras Correntes;8,12;2,22;13,21;65,55;83,46;57,57
  Demais Receitas Correntes;402,13;452,92;753,4;551,91;566,18;713,59
SALDO (A) - Receitas Primárias Correntes;3436,96;3980,91;4466,47;4664,68;4988,34;5361,8
RECEITA DE CAPITAL;136,45;98,34;195,1;227,09;208,92;202,81
  Receitas Financeiras de Capital;99,78;80,03;121,29;202,19;127,59;69,09
    Operações de Crédito;88,93;68,9;108,44;186,81;108,23;53,05
    Alienação de Bens;1,07;1,08;1,75;1,68;6,1;1,53
    Amortização de Empréstimos;9,78;10,05;11,1;13,7;13,27;14,51
  Transferências de Capital;36,66;18,31;73,82;24,9;81,33;133,72
  Outras Receitas de Capital;0,0;0,0;-0,0;-0,0;0,0;-0,0
SALDO (B) - Receitas Primárias de Capital;36,66;18,31;73,82;24,9;81,33;133,72
RECEITA PRIMÁRIA TOTAL (C = A + B);3473,63;3999,22;4540,29;4689,58;5069,67;5495,52
DESPESA CORRENTE;3640,23;3897,81;4476,13;5114,16;5087,37;5819,27
  Pessoal e Encargos Sociais;2176,7;2367,58;2822,49;3101,32;2940,77;3542,5
  Juros e Encargos da Dívida;29,52;18,68;40,49;52,89;76,28;86,57
  Outras Despesas Correntes;1434,01;1511,55;1613,15;1959,95;2070,32;2190,19
SALDO (D) - Despesas Primárias Correntes;3610,71;3879,13;4435,64;5061,27;5011,09;5732,69
DESPESA DE CAPITAL;272,19;231,01;294,84;437,48;523,93;465,59
  Investimentos;217,63;184,84;212,45;352,27;426,69;361,18
  Demais Inversões;4,8;1,72;4,47;14,44;14,71;6,51
  Despesas Financeiras de Capital;49,76;44,45;77,92;70,77;82,53;97,9
    Amortização da Dívida;49,75;42,27;76,34;67,35;77,03;86,86
SALDO (E) - Despesas Primárias de Capital;222,43;186,56;216,91;366,71;441,4;367,69
DESPESA PRIMÁRIA TOTAL (F = D + E);3833,14;4065,69;4652,55;5427,98;5452,49;6100,38
RESULTADO PRIMÁRIO (G = C - F);-359,51;-66,47;-112,26;-738,4;-382,82;-604,86
