Conta;2019;2020;2021;2022;2023;2024
RECEITAS PRIMÁRIAS;12784,47;15333,31;17387,26;19585,25;24975,92;27994,83
DESPESAS PRIMÁRIAS;14476,61;15113,79;17936,31;22382,74;23531,51;24187,38
RESULTADO PRIMÁRIO;-1692,14;219,52;-549,05;-2797,49;1444,41;3807,45
RECEITAS FINANCEIRAS;87,0;84,63;295,99;751,03;762,12;556,75
  Receitas Financeiras Correntes (Valores Mobiliários);64,11;47,62;186,97;671,52;637,59;497,97
  Operações de Crédito;11,56;28,46;89,39;63,92;109,35;39,68
  Alienação de Bens;2,3;0,82;8,77;3,74;2,93;6,24
  Amortização de Empréstimos (Recebidas);9,03;7,72;10,85;11,85;12,25;12,86
DESPESAS FINANCEIRAS;589,68;251,68;666,0;732,45;827,31;760,43
  Juros e Encargos da Dívida;356,84;106,94;306,56;341,17;409,56;437,18
  Amortização da Dívida;232,84;144,75;359,44;391,28;417,74;323,26
RESULTADO ORÇAMENTÁRIO;-2194,82;52,47;-919,06;-2778,91;1379,22;3603,77
